pool_address,tvl,blockchain_name,blockchain_id,protocol_name,protocol_id,token0_address,token1_address
0x51bcaa89ddb84c4c077c8ba72303bf4c5cb991f4,12805.5596309758,polygon,4,quickswap,4,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x430ef9263e76dae63c84292c3409d61c598e9682
0x777eccbad6952e185f743e20d5d85ca795270ac8,16950.632035,polygon,4,dfyn,1,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x3c5a5885f6ee4acc2597069fe3c19f49c6efba96
0x216941e9c3dda2a86c1e6285379e0301bc8c0c4a,167997.3204023014,polygon,4,dfyn,1,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x692597b009d13c4049a947cab2239b7d6517875f
0x014ac2a53aa6fba4dcd93fde6d3c787b79a1a6e6,273609.8544762212,polygon,4,sushiswap,5,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe
0x91bca6cbc144c2fd843534523eaa5e34686a9b19,17892.8287414484,polygon,4,quickswap,4,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x03b54a6e9a984069379fae1a4fc4dbae93b3bccd
0xd5be7961dccb04a22dfe8bea0c584072cfa9d647,13586.7239357667,polygon,4,quickswap,4,0xa3fa99a148fa48d14ed51d610c367c61876997f1,0xb5c064f955d8e7f38fe0460c556a72987494ee17
0xa79983daf2a92c2c902cd74217efe3d8af9fba2a,3451.0645089079,polygon,4,sushiswap,5,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xaaa5b9e6c589642f98a1cda99b9d024b8407285a
0x450918694c49df24092dba12d0b58b7a44ebf07b,22591.9411604695,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x61299774020da444af134c82fa83e3810b309991
0x1274de0de2e9d9b1d0e06313c0e5edd01cc335ef,57642.4510492336,polygon,4,sushiswap,5,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x2c89bbc92bd86f8075d1decc58c7f4e0107f286b
0x6cf8654e85ab489ca7e70189046d507eba233613,780919.2566517458,polygon,4,apeswap,7,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x5b13b583d4317ab15186ed660a1e4c65c10da659,474481.9511009236,polygon,4,apeswap,7,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
0x88f3c15523544835ff6c738ddb30995339ad57d6,575728.5847309094,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x5786b267d35f9d011c4750e0b0ba584e1fdbead1,2997898.1303,polygon,4,sushiswap,5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4e78011ce80ee02d2c3e649fb657e45898257815
0xfe530931da161232ec76a7c3bea7d36cf3811a0d,34123.5006698706,polygon,4,uniswap_v3,3,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x59db5ea66958b19641b6891fc373b44b567ea15c,134492.668612622,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4
0xc30d6bc42911aa21a63e51c7121b33b3e65cc3c4,45369.554136,polygon,4,sushiswap,5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x9af3b7dc29d3c4b1a5731408b6a9656fa7ac3b72
0x478577fd3ae5d1c63c3023a2e828f22698589a0a,10429.6560427044,polygon,4,dfyn,1,0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97,0xfd4959c06fbcc02250952daebf8e0fb38cf9fd8c
0x3324af8417844e70b81555a6d1568d78f4d4bf1f,8021.210478,polygon,4,sushiswap,5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xaa9654becca45b5bdfa5ac646c939c62b527d394
0x171dabe5b6c39f09a9f36bb760c83decc752cdc7,17939.282969,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x264808855b0a6a5a318d238c6ee9f299179f27fc
0x3f7cd6c7093d5a783128c926200c1fccb1d36b76,79452.918247,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2934b36ca9a4b31e633c5be670c8c8b28b6aa015
0x6f90b28c87b756560362d944cffcaabcedd2dd41,46098.8686248716,polygon,4,dfyn,1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xc3ec80343d2bae2f8e680fdadde7c17e71e114ea
0xe9bb87c33d1607b06fb3988b31e9601bd21ff3bd,2217.0624540848,polygon,4,sushiswap,5,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x76e63a3e7ba1e2e61d3da86a87479f983de89a7e
0x4b8db017f09f911f5d4387dd602ba40f7bc32b90,44729.9271082996,polygon,4,quickswap,4,0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4,0xfa68fb4628dff1028cfec22b4162fccd0d45efb6
0x86f1d8390222a3691c28938ec7404a1661e618e0,1823260.720356952,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x496cd143589508cd8b28312bc88881db7dbd586e,74793.5341254708,polygon,4,kyberswap,6,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x2760e46d9bb43dafcbecaad1f64b93207f9f0ed7
0x16905a1e7f86abc4722f27943d7f42e1368e0090,2881.6645056051,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xc5b57e9a1e7914fda753a88f24e5703e617ee50c
0x61f2603c0f769ede145bf0dace3e3f280cba9c8c,3578.979337,polygon,4,uniswap_v3,3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x50b728d8d964fd00c2d0aad81718b71311fef68a
0x5b1fd9fa139353c5d9eaf459e4bd2f7a6b4812bb,564739.110592981,polygon,4,quickswap,4,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0xa3fa99a148fa48d14ed51d610c367c61876997f1
0xd503cd445dce6fd99e12d74b60ad5f0acf8cbcf6,4511.092325,polygon,4,dfyn,1,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xe6fc6c7cb6d2c31b359a49a33ef08ab87f4de7ce
0x9a72fc3fb9e99087d2eae500355e7902c763f9b3,2635.9571350869,polygon,4,uniswap_v3,3,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0xa34ec05da1e4287fa351c74469189345990a3f0c,1533393.204916,polygon,4,sushiswap,5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590
0x05a281f100cb2c38b38a1e7016e16e5210ce8d1b,5786.8658316112,polygon,4,quickswap,4,0xd6df932a45c0f255f85145f286ea0b292b21c90b,0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4
0x445fe580ef8d70ff569ab36e80c647af338db351,11267010.076316373,polygon,4,curve,2,0x1a13f4ca1d028320a707d99520abfefca3998b7f,0x27f8d03b3a2196956ed754badc28d73be8830a6e
0x4ab66a7138f50db9b7adaf8ce8afb3f638b22f7f,3721.573609,polygon,4,sushiswap,5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756
0x876d546e561ab84762aca27f94196baa3d36101b,3433.9968366218,polygon,4,uniswap_v3,3,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0x2ab4f9ac80f33071211729e45cfc346c1f8446d5
0x993defde3e6ef50610eb6d994823dc82565ad3ba,39888.0061306698,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x03b54a6e9a984069379fae1a4fc4dbae93b3bccd
0xc9ad12b6c54683d990868b4314fa17fc8f3b5e16,9814.9237236009,polygon,4,uniswap_v3,3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x1a3acf6d19267e2d3e7f898f42803e90c9219062
0x7fee8f1222a60336238d2898a856dfe2331412bc,5769.3276335744,polygon,4,dfyn,1,0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97,0x0d6ae2a429df13e44a07cd2969e085e4833f64a0
0xeae495187472b8db83cf9dc738ba3869fde5b1d3,3776.1984758646,polygon,4,honeyswap,8,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
0x92215849c439e1f8612b6646060b4e3e5ef822cc,11746611.260321511,polygon,4,curve,2,0x28424507fefb6f7f8e9d3860f56504e4e5f5f390,0xe7a24ef0c5e95ffb0f6684b813a78f2a3ad7d171
