pair_id,token0_address,token1_address
49619,0xe0339c80ffde91f3e20494df88d4206d86024cdf,0x3c1bb39bb696b443a1d80bb2b3a3d950ba9dee87
52741,0x7c28f627ea3aec8b882b51eb1935f66e5b875714,0xdf2140dee6b07ae495382bc1cd446f7b328f63e3
25715,0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9,0xe580074a10360404af3abfe2d524d5806d993ea3
6798,0x8df3aad3a84da6b69a4da8aec3ea40d9091b2ac4,0x82a0e6c02b91ec9f6ff943c0a933c03dbaa19689
85411,0x3050731a7ab18d05eaa5e01d66df33e04444e72c,0xda5949544aaf6124d06f398bfde4c86cc33b0ee7
50803,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xffb89d7637cf4860884ed48b57ae5562bf64e10f
77029,0x00a0d4f2fe50e023aec0648271ce1a6616c702e2,0x94025780a1ab58868d9b2dbbb775f44b32e8e6e5
50928,0x580a84c73811e1839f75d86d75d88cca0c241ff4,0xdb7cb471dd0b49b29cab4a1c14d070f27216a0ab
89817,0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c,0xce899f26928a2b21c6a2fddd393ef37c61dba918
14994,0x2a93172c8dccbfbc60a39d56183b7279a2f647b4,0x3a3df212b7aa91aa0402b9035b098891d276572b
14960,0x2a93172c8dccbfbc60a39d56183b7279a2f647b4,0xe7a24ef0c5e95ffb0f6684b813a78f2a3ad7d171
88237,0x204820b6e6feae805e376d2c6837446186e57981,0x6ddb31002abc64e1479fc439692f7ea061e78165
3210,0xf9d3d8b25b95bcda979025b74fdfa7ac3f380f9f,0x7c58d971a5dabd46bc85e81fdae87b511431452e
71961,0x5fe2b58c013d7601147dcdd68c143a77499f5531,0x46f48fbdedaa6f5500993bede9539ef85f4bee8e
84253,0x5c2ed810328349100a66b82b78a1791b101c9d61,0xd0513db39d87e8825389feb10bd911dc53b3a153
55041,0xb87904db461005fc716a6bf9f2d451c33b10b80b,0xf4b0903774532aee5ee567c02aab681a81539e92
55494,0x88c949b4eb85a90071f2c0bef861bddee1a7479d,0x255707b70bf90aa112006e1b07b9aea6de021424
83308,0xb5c064f955d8e7f38fe0460c556a72987494ee17,0xc3f56d567e7663e8932e65d85ae4be7eb5575ca7
36691,0x403e967b044d4be25170310157cb1a4bf10bdd0f,0x4d0def42cf57d6f27cd4983042a55dce1c9f853c
10577,0x1379e8886a944d2d9d440b3d88df536aea08d9f3,0x5198e7cc1640049de37d1bd10b03fa5a3afda120
75415,0x033d942a6b495c4071083f4cde1f17e986fe856c,0xf695f9499d18584363aeed0eba4c381d350f81c3
16477,0x27f8d03b3a2196956ed754badc28d73be8830a6e,0x4d0def42cf57d6f27cd4983042a55dce1c9f853c
82442,0xcfb54a6d2da14abecd231174fc5735b4436965d8,0xac3090b7042fca2cdbf233022e4a9823a032600c
86869,0x9cd6746665d9557e1b9a775819625711d0693439,0x081ec4c0e30159c8259bad8f4887f83010a681dc
1480,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x34d4ab47bee066f361fa52d792e69ac7bd05ee23
30024,0x8bb93979901cd159bf6763b223fbb315c31ccf7b,0xdb7cb471dd0b49b29cab4a1c14d070f27216a0ab
21147,0x0000000000000000000000000000000000001010,0xc56d17dd519e5eb43a19c9759b5d5372115220bd
18903,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,0x18a4f192fa327f4b8ab0a67e938df17383b4cf96
44197,0x625e7708f30ca75bfd92586e17077590c60eb4cd,0x7075cab6bcca06613e2d071bd918d1a0241379e2
44035,0x625e7708f30ca75bfd92586e17077590c60eb4cd,0x7a5dc8a09c831251026302c93a778748dd48b4df
56589,0xb4228798ff437ecd8fa43429664e9992256fe6ac,0xa936e1f747d14fc30d08272d065c8aef4ab7f810
